danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.438,0.702,6,-7.811,1,0.14,0.0003,0.0005,0.555,0.204,179.958,224000,4,Dark Trap
0.696,0.573,0,-8.531,1,0.0919,0.104,0.0,0.135,0.368,158.026,250973,4,RnB
0.868,0.701,1,-7.515,1,0.297,0.0164,0.0,0.111,0.705,120.028,186552,4,Rap
0.678,0.852,6,-2.087,0,0.253,0.003,0.565,0.6,0.291,172.007,364535,4,dnb
0.79,0.544,6,-7.225,0,0.199,0.399,0.0,0.13,0.526,136.058,227601,4,Underground Rap
0.701,0.552,1,-9.867,1,0.0437,0.0009,0.716,0.34,0.0475,140.077,288000,4,trap
0.604,0.919,8,-4.785,1,0.0446,0.0015,0.871,0.221,0.258,175.005,315429,4,dnb
0.722,0.715,11,-10.283,0,0.15,0.016,0.856,0.424,0.212,141.951,149714,4,Dark Trap
0.746,0.87,6,-7.134,1,0.341,0.461,0.0,0.577,0.862,151.722,318507,4,Underground Rap
0.677,0.87,4,-10.633,0,0.0993,0.361,0.86,0.107,0.0849,132.987,389654,4,techno
0.741,0.428,11,-9.253,1,0.0496,0.246,0.0,0.13,0.0464,130.044,140064,4,Underground Rap
0.677,0.994,6,-3.568,0,0.068,0.0,0.861,0.572,0.456,145.997,427397,4,psytrance
0.622,0.994,0,-5.74,1,0.252,0.0012,0.391,0.325,0.0909,138.02,447391,4,psytrance
0.529,0.847,8,-3.714,1,0.224,0.187,0.0005,0.123,0.375,159.09,135861,4,Dark Trap
0.844,0.893,1,-4.466,1,0.322,0.201,0.0,0.099,0.752,189.93,159196,4,Underground Rap
0.504,0.453,2,-12.589,1,0.383,0.0551,0.0002,0.0993,0.0928,177.939,182400,4,Rap
0.606,0.198,0,-15.323,0,0.0343,0.614,0.689,0.0923,0.161,151.29,261213,4,RnB
0.764,0.525,8,-5.969,1,0.048,0.0296,0.0,0.0993,0.787,191.626,289413,4,Hiphop
0.675,0.5,1,-6.6,1,0.0516,0.0037,0.0027,0.114,0.0709,180.058,300729,4,RnB
0.809,0.642,2,-5.975,1,0.0788,0.0021,0.0002,0.135,0.0967,124.984,154549,4,Trap Metal
0.602,0.897,4,-5.736,0,0.0592,0.0003,0.663,0.133,0.145,128.051,236000,4,trance
0.523,0.97,6,-5.86,1,0.0759,0.0247,0.0038,0.448,0.298,136.017,196375,4,trance
0.36,0.716,7,-6.181,1,0.34,0.2,0.0,0.581,0.274,172.002,319253,4,Hiphop
