danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Dark Trap,Emo,Hiphop,Pop,Rap,RnB,Trap Metal,Underground Rap,dnb,hardstyle,psytrance,techhouse,techno,trance,trap
0.649,0.988,10,-2.073,0,0.292,0.0761,0.0377,0.35,0.397,150.007,185600,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.692,0.85,7,-8.605,1,0.0639,0.0919,0.0,0.353,0.188,122.988,304270,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.424,0.466,8,-11.891,1,0.053,0.952,0.158,0.121,0.386,112.088,120555,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.548,0.724,7,-6.681,0,0.275,0.39,0.0,0.469,0.481,110.066,516000,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.471,0.655,7,-11.396,1,0.473,0.296,0.0,0.0861,0.635,151.913,181945,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.427,0.936,11,-5.944,0,0.0469,0.0722,0.0,0.17,0.259,149.863,154344,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.722,0.903,10,-6.051,0,0.276,0.0811,0.0,0.303,0.228,193.968,201693,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.728,0.88,4,-11.419,0,0.049,0.116,0.826,0.0989,0.348,128.001,307850,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.342,0.767,4,-5.643,1,0.0471,0.0233,0.0,0.139,0.194,150.602,196804,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.748,0.633,8,-5.896,1,0.0268,0.0203,0.0,0.12,0.25,123.069,164878,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.341,0.961,1,-3.504,1,0.155,0.0036,0.236,0.772,0.0618,150.172,194000,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.952,0.722,8,-5.459,1,0.19,0.0379,0.0004,0.119,0.759,130.011,230320,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.518,0.893,8,-4.673,1,0.0652,0.0003,0.0,0.151,0.353,131.971,245453,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.735,0.453,8,-8.264,0,0.0602,0.413,0.0,0.104,0.335,115.002,217387,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.78,0.823,1,-3.999,1,0.222,0.0484,0.0215,0.582,0.332,160.0,177680,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.463,0.97,6,-4.649,1,0.0867,0.112,0.0715,0.227,0.166,149.876,147208,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.792,0.595,6,-11.387,1,0.0746,0.0244,0.924,0.109,0.0398,128.994,419025,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.739,0.522,7,-12.304,0,0.151,0.821,0.0012,0.233,0.619,138.263,146390,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.675,0.424,7,-8.176,0,0.205,0.55,0.0,0.124,0.316,196.314,188571,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.767,0.886,8,-4.02,0,0.375,0.0103,0.0027,0.07,0.462,149.998,180594,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.619,0.839,7,-5.504,1,0.0907,0.002,0.0,0.0999,0.345,147.939,194624,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.628,0.791,11,-6.858,0,0.119,0.0008,0.0002,0.0828,0.236,127.931,187500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.608,0.846,8,-9.134,1,0.0759,0.0006,0.917,0.132,0.336,125.995,339405,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.775,0.517,11,-8.186,1,0.137,0.122,0.0142,0.609,0.613,104.018,246952,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.476,0.542,1,-9.37,1,0.424,0.285,0.0,0.133,0.295,156.864,192795,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.446,0.948,4,-6.771,0,0.0432,0.0024,0.606,0.122,0.297,129.523,281560,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.374,0.568,1,-3.825,0,0.109,0.219,0.0022,0.513,0.111,84.733,547733,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
